,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
QC1,247611,61269,8850353,772,63793,82134,4422102,3041,3424,1020832,74574,2966,2224279,15888,93989,65485,9276,7088,96133,1338705,96708,98054,84765,107582,32312,60106,189546
QC2,336940,93888,10700450,850,68242,103878,5479717,3103,5429,1352355,103655,4095,3256020,20685,98224,146175,13738,10273,162189,1906766,170821,155166,132131,169825,27533,88304,247315
N-MHT1141,302192,76089,7798569,206,74208,76319,3913569,2359,7933,1021542,74560,3940,1971981,53150,79966,48213,8586,5495,168876,1923077,77467,49721,147106,129029,32238,74575,128055
N-MHT1142,381816,65816,9688110,131,73274,92639,4612536,3331,7514,1235498,88714,6283,3179691,39526,102724,54845,11319,11319,222524,2090087,92612,37166,151553,141830,40908,63831,155907
N-MHT1143,275399,65691,7617392,36029,120269,71316,3639111,1826,9326,1007861,75511,2166,2083417,39954,70609,46775,10181,35,215642,1538196,78833,24529,125107,104188,38316,52166,117861
N-MHT1144,346730,97116,10819123,258,110477,97547,4331140,2899,10123,1532700,108795,2599,2538543,46583,97523,56681,11365,41,241343,2059837,90286,27844,153333,138181,42320,63139,138746
N-MHT1145,256259,61197,10500423,8395,171569,74553,4636904,4155,7859,1214222,90371,2856,2028786,57743,80031,56719,10213,7092,192574,2482173,91330,63620,156986,127616,40786,63579,136061
N-MHT1146,513653,115230,10415526,4866,115488,116467,4133518,3591,17251,1478598,82250,2113,1822671,73311,78491,57331,8792,4503,183842,1828361,81828,58059,152998,113447,31239,80088,63864
N-MHT1147,267114,61257,7887018,376,74916,81391,4134595,3532,7886,1067151,71374,2557,1746349,61675,33777,46761,10296,7744,210697,2124073,72171,35018,260121,125761,37179,62324,87804
N-MHT1148,474906,128850,9454294,189,101033,112699,4251973,2716,17579,1294135,74304,4056,2242261,36393,92377,50163,9217,6133,230004,1682842,55612,87112,123556,77301,19697,63715,123768
N-MHT1149,359113,71477,8650459,6342,68755,75997,4163623,3807,6729,1304390,57807,1828,2327309,46258,72455,50678,10363,6436,192539,1394337,82330,101617,75554,113596,30576,50436,198605
N-MHT1150,145409,41444,6982756,1441,47173,57875,3664241,2099,3003,812844,65725,2581,2541996,21198,47876,41495,7294,6906,121454,1455900,69657,37921,97854,105289,27219,48609,144350
QC1,235733,57595,8428951,1035,60347,77056,4177429,2386,3325,960960,69659,1656,2104334,15781,88800,60115,8557,6672,89950,1277425,87176,91119,79422,100849,29767,45338,181639
QC2,246306,65987,8207854,900,49550,77076,4175006,2625,4133,1032416,76207,4274,2422378,15264,71635,58410,11221,7782,120092,1454169,77778,113558,98876,107846,28329,59818,187890
M-MHT1141,208199,56656,6010374,42,46385,62147,3338076,1822,6151,716349,50449,2685,1294094,32481,50835,62173,6562,4158,121528,1475042,122575,35081,134900,150435,29381,60023,103389
M-MHT1142,334094,61848,8981920,1398,55215,86964,4725081,3570,6499,1039940,76443,3492,2626339,32075,83450,86913,9540,10285,199324,1944043,165828,33427,160133,182919,42932,53711,147833
M-MHT1143,299,53,4692,352,21,1,1201,173,n.a.,124,16,21,179,275,29,10,28,1,21,48,17,37,69,7,8,4,27
M-MHT1144,311127,89715,10319173,189,96844,92781,4439252,3049,9402,1413022,103848,3279,2313886,31024,83401,78493,10153,6569,228165,1990038,143228,26608,156473,167433,42346,60262,134227
M-MHT1145,210538,52668,8823823,145,126715,66802,4228330,3161,6249,969780,72429,2110,1612675,43951,62150,75348,8021,6198,156972,2130909,137305,51925,154193,146148,35773,55850,117232
M-MHT1146,412773,97545,9179151,2682,91297,106974,4094673,3676,15433,1264402,71558,3590,1552080,52620,63277,75979,8353,4069,165187,1753991,132925,53636,172235,133783,27417,79476,62438
