batch,ID,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
5,402736-015,397496,121140,18945169,95762,173212,168652,9398646,21016,7147,2397711,162959,3536,4942108,6996,298821,276529,26534,9120,60238,2580209,280464,49905,187243,147232,32131,41848,230981
5,402736-016,480570,136046,19110511,3731,190490,185812,8571920,8230,4204,1940088,153225,4071,5022388,21872,187673,121365,16031,14076,116371,2248679,155116,196085,142417,87281,36856,70526,357020
5,402736-017,421663,109032,13418364,3076,132832,132759,6118887,3828,4614,1252537,86567,2474,2670151,11281,215451,107067,10176,10858,105153,1570793,131421,118112,112397,72547,27798,47384,358821
5,402736-018,473229,80552,11229806,939,83952,101614,6375320,4276,4205,949017,65615,2914,2515914,11815,60246,79800,13041,9430,111292,1509776,107677,119044,119271,119478,26352,51388,191981
5,402736-019,165652,50839,7383207,723,45281,67560,4067793,2814,2770,672395,49020,1584,1175302,6864,18283,57170,10083,5375,50504,966255,69350,134316,66348,59918,17600,51663,181291
5,402736-020,210968,51577,10280736,2311,83601,90667,5682049,7595,951,742354,78970,2647,1209337,8571,93544,90031,9833,6108,60594,1743704,117099,261902,91259,69285,30188,76335,314495
5,QC1,403741,97739,13961134,2794,114626,154942,6908881,5983,5825,1623677,121610,2674,3252656,27984,166705,101465,17489,12553,163413,2264342,151393,155260,141730,171045,55550,83720,338896
5,QC2,140741,38777,4621956,352,29742,50191,2337061,1540,2774,562151,42041,557,1235530,8356,37845,19017,5453,4333,62341,719834,19875,53245,45844,25856,8477,29774,95592
5,402736-021,211098,57914,8209147,70,43637,75290,5002713,3187,3411,697156,51608,2528,1708419,9088,27481,64337,9787,8778,100878,1657580,97963,15143,123334,165619,24608,32391,144059
5,402736-022,325376,64316,14883077,1657,135390,109067,7559716,6932,2786,1254325,116046,3262,2234643,48532,58963,79494,12610,11276,169878,2646479,111019,130008,159010,156928,48338,72937,309121
5,402736-023,338013,72301,11900047,1155,105152,110209,6066724,3851,5610,1052746,78493,2766,2164025,40194,62673,88054,9831,8558,154542,2004986,141891,93733,161403,141631,32857,53165,224679
5,402736-024,160127,64585,13632220,536,72315,124477,7733913,4525,3081,1158774,94129,2826,3076142,6906,72084,123467,16558,13446,122556,2175931,179611,51252,172759,145534,50838,51023,251238
5,402736-025,397123,106260,15337660,3479,147472,144002,7464205,5272,11363,1606162,102957,2721,3434724,18578,105578,107690,15783,13166,221795,1835402,155046,65464,162845,154972,43430,51250,275286
5,402736-026,440480,120793,14017602,285,302243,183099,6729541,4502,13733,1411834,129046,3845,1724087,18522,50839,95344,10362,9730,200131,2511476,150804,66859,148265,190603,39930,64801,308745
5,402736-027,278805,86449,13008899,812,99016,123469,6420019,4484,6900,1253170,89155,2441,3442072,22248,84793,100691,11890,9256,116795,2061212,153377,84261,145603,127433,35175,44071,292527
5,402736-028,344270,106397,13612295,2215,104851,178849,7912481,6189,6855,1307707,108552,2879,3837062,41022,988919,182609,16884,10803,124574,2548129,120797,265598,98362,83558,29018,76456,289558
5,402736-029,597220,120430,11473679,1554,97439,104654,5408694,4637,9813,861174,60909,2544,1745180,25340,45851,77121,9403,9025,122906,1383081,95986,58584,98017,112227,25956,47977,170556
5,402736-030,245962,84055,13568863,2575,110021,144359,7047416,4841,7259,1334284,111433,3463,2925771,7736,57221,90096,11091,9833,116128,1776494,119486,142825,121564,103992,35787,72455,252743
5,402736-031,460325,106519,16280887,2601,163916,135675,8808850,15598,6159,1370263,109719,3410,2683815,15599,75549,113451,13043,11735,139902,2025001,142275,131856,138241,109322,40326,42097,376454
5,402736-032,224427,80676,12849240,121,74501,137754,7309167,5898,8402,1138041,89568,3558,2437636,6459,59378,106396,12867,9546,115602,1674738,128109,92112,138298,110452,39040,46587,305260
5,402736-033,147731,42267,9620187,168,74944,59701,5441800,3147,1944,792225,61217,1269,1661413,5030,35083,81664,10401,8498,81641,1420089,113408,28091,132213,132777,35503,34515,167317
5,402736-034,252403,89237,16752303,1925,179290,127514,7901284,5743,4678,1496045,136406,2019,2829671,14666,61123,110362,13850,11360,148655,2509042,151585,119687,160540,122005,53157,46500,426378
5,402736-035,268503,63304,12747881,5087,72928,131050,7474611,6261,1483,1263160,104629,3375,2734995,38013,129669,94966,17840,14029,189634,1692607,108994,135443,133198,116852,46722,76112,301588
5,402736-036,268714,60251,11811699,992,72286,84692,6758052,6015,3759,1163300,72295,2837,2279752,27464,57649,86114,13133,9455,208350,1927160,130672,33271,148481,220726,32769,47666,178512
5,402736-037,102163,42152,7498601,2093,94940,83997,5296440,3798,716,894685,79463,1753,1720900,13194,42875,95219,16666,8476,96436,1255993,68281,96554,76001,104782,22569,43026,182176
5,402736-038,183838,64715,10410857,1187,77423,104666,5473640,5073,3097,1231851,93695,2073,2377528,17267,151546,100621,13808,8350,115424,1680687,109240,51563,90238,71790,28400,44045,194994
5,402736-039,289310,85507,13337944,1817,104571,114259,7320454,6041,5397,1194797,86886,1966,2633023,36481,42195,92693,11929,9078,149302,2683385,141005,26613,158646,188627,38733,41333,185889
5,QC1,426452,102660,14498836,2987,120993,163360,7210040,5545,6688,1703949,131612,3126,3398928,29290,173557,108510,18750,12923,172194,2364153,154838,163231,154560,178102,59667,87172,355928
5,QC2,163521,45244,5427082,818,35407,59669,2743761,1628,2956,659472,48560,656,1449296,9886,43987,22799,6694,4783,73950,854397,23521,63140,54761,29913,9935,34941,112348
6,QC1,468699,113949,16043134,3459,135380,184082,8086228,6522,7382,1895687,144086,3351,3830133,33855,197644,123963,21260,14622,195524,2683729,177452,187075,174083,206830,68624,99045,408266
6,QC2,201536,55598,6647058,673,43659,72588,3373354,1900,3774,808352,60279,927,1784473,11600,55360,28040,8274,5938,93203,1077344,29134,80864,70584,40304,12579,43144,142634
6,407813-001,430493,68122,14988410,2678,164666,101849,6742953,4101,1525,1279035,132113,464,1915971,14881,109881,297855,12560,7540,91152,2027380,305756,388493,85408,170000,18656,100212,454569
6,407813-002,523416,124386,19735732,5327,186002,157446,9091794,7515,5042,1954806,150065,458,4305088,28311,186817,301742,14982,14314,254216,2396838,325979,266831,106510,211680,23827,86378,423026
6,407813-003,208758,68561,10965341,42,79210,83545,6603090,3665,4462,1100594,80560,12,2368236,15491,63720,195011,24353,8450,103744,2035501,217453,46382,114869,181717,29275,61503,223905
6,407813-004,173470,67740,10497238,412,61425,106166,5913012,2972,8547,1059750,95531,13,2446518,6848,70562,186568,8434,6570,82713,2011195,229515,69447,133184,167939,19118,50681,201347
6,407813-005,529765,118418,21332183,3952,173292,161015,9283909,7356,3751,2034427,161244,965,3253089,26374,106731,182702,16387,12108,159246,2259711,215240,442814,125827,167810,38351,105015,406005
6,407813-006,435738,167877,16085533,1096,74646,258199,9663019,5939,64651,1933785,117350,3074,4377604,25720,77199,145959,12511,11409,120472,2683216,212435,140244,208600,184490,37862,90196,242298
6,407813-007,351458,94080,13917370,1832,74764,119894,7224248,4720,6929,1423478,102827,377,3114019,9487,82658,143565,10079,10066,139860,2143355,191718,103750,131157,152356,25222,56346,258424
6,407813-008,531314,90875,14769757,1874,136408,111628,7254519,5707,3995,1399098,108668,258,2872049,68449,118758,161265,9659,10806,208452,2351344,200971,159660,160297,172914,30813,70448,366671
6,407813-009,176799,73413,15468246,1553,102183,140734,8180803,4858,3562,1553522,132369,335,3749052,13948,63016,163179,11176,9877,128291,2555525,220008,183850,134341,165088,30596,88988,330220
6,407813-010,1536937,185354,37035465,4665,344947,223841,15581009,33334,8607,4142465,299595,1457,6031225,88405,436998,342883,43362,24242,262559,3522031,356766,259192,193470,254310,34408,105056,544329
6,QC1,328782,82571,11269996,2018,87929,128518,5790129,5427,8109,1499061,114360,1518,3014491,23789,141892,98084,14753,10203,145673,1882248,141194,137110,156657,183304,54405,75354,284067
6,QC2,264441,70419,8832599,921,55198,99920,4616773,2927,7015,1282109,96942,3403,2705123,16065,83850,56243,12094,9082,144452,1582516,76780,119747,138304,125653,37896,71057,214793
6,407813-011,388400,115783,18640874,2648,150182,182338,9588737,11181,9192,2007018,188316,2482,4325431,24767,140243,230957,20757,17787,202928,2653259,307285,120142,131583,212095,43389,85963,360516
6,407813-012,1514792,191488,18589085,807,114597,155601,9757712,12380,2587,1603880,132208,6655,4325086,66076,301797,265209,23377,25181,278302,2427193,267869,117783,200772,327025,59371,109898,216492
