C14:0,C15:0,C16:0,C16:1n-7,C17:0,C18:0,C18:1n-9,C18:1n-7,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3 n-6,"C20:4n-6, AA",C22:0,"C20:5n-3, EPA",C22:4n-6 ,C24:0,C24:1n-9,"C22:5n3, DPA","C22:6n3, DHA"
0.029095909,0.003303806,0.53180656,0.006212987,0.004288905,0.200804305,0.052344764,0.003467032,0.065376314,0.000879186,0.005752897,0.002868166,0.001089339,0.000331283,0.003774578,0.050249537,0.003274917,0.012871091,0.002644083,0.002386425,0.001111407,0.003733766,0.011706839
0.010849819,0.002725943,0.470369062,0.003612888,0.003993175,0.230406821,0.054055831,0.003685738,0.110673518,0.000541274,0.002674924,0.002646912,0.00042723,0.000402342,0.006580533,0.07000641,0.003829765,0.002713853,0.00426033,0.00270719,0.00085517,0.002377051,0.009219727
0.017501036,0.00340687,0.485274927,0.004631872,0.004855039,0.207702731,0.061318346,0.004318489,0.106443496,0.000477694,0.003460088,0.002886478,0.000483376,0.000388938,0.004674341,0.064055286,0.003600219,0.004612135,0.00331749,0.002200643,0.000501441,0.002589837,0.010805074
0.01720065,0.002934664,0.487158871,0.00311235,0.004984202,0.228693694,0.042221495,0.00353588,0.102859464,0.001002581,0.003719739,0.003009036,0.000549335,0.000382353,0.003849159,0.065021188,0.003629508,0.007552853,0.003159292,0.002470327,0.00092093,0.002813455,0.008788735
0.015524743,0.003451548,0.48574849,0.003961051,0.005547598,0.219133996,0.060223313,0.004024167,0.111716433,0.000820635,0.003798024,0.002687401,0.000566806,0.000419839,0.004493492,0.05465458,0.003159635,0.002889888,0.002974796,0.002265337,0.000708116,0.001479115,0.009068602
0.008004078,0.003023805,0.433259644,0.004846998,0.005631958,0.253840376,0.051874945,0.004078671,0.111397273,0.000924356,0.003208484,0.003336344,0.000424254,0.000423852,0.006147928,0.080300328,0.004904558,0.0031448,0.00373844,0.003957813,0.001437751,0.002621445,0.008975995
0.016468449,0.002727482,0.482615304,0.004029382,0.004845821,0.219383127,0.04693211,0.003775971,0.088138921,0.000648934,0.002269404,0.002639862,0.000313072,0.000270697,0.003293336,0.082024726,0.00420535,0.011689998,0.00342296,0.003396601,0.001333893,0.00281585,0.012450396
0.013607749,0.003438555,0.4814639,0.00418957,0.005253879,0.228114445,0.053075446,0.003220478,0.095030346,0.002640935,0.003735443,0.002788216,0.000426357,0.000394357,0.007383735,0.068070308,0.00310861,0.004979058,0.003251146,0.003004387,0.00142443,0.002794041,0.008152319
0.018306509,0.003808525,0.507121024,0.005077754,0.005705301,0.21712953,0.059569149,0.003539629,0.083181167,0.001812424,0.005558865,0.002746825,0.00036083,0.000342855,0.005095794,0.057637874,0.003857614,0.001877806,0.004645694,0.003202072,0.000907149,0.001979989,0.005993305
0.012845713,0.002415816,0.487550744,0.005071377,0.003964349,0.227862573,0.060041201,0.003846774,0.087464416,0.00149697,0.003849107,0.003131905,0.000430859,0.000442128,0.008095184,0.06609897,0.004260234,0.001588131,0.005899718,0.00390962,0.001126626,0.002143704,0.006070109
0.011360532,0.002768518,0.468197364,0.004547128,0.00543824,0.225318974,0.053847524,0.004031354,0.113973442,0.000407645,0.008018908,0.004009579,0.000983938,0.000480479,0.00523217,0.057053876,0.004581012,0.005442808,0.004185625,0.004236342,0.001167286,0.003071664,0.010757103
0.010675764,0.002748636,0.464527688,0.003473389,0.004692036,0.242732621,0.047854707,0.003657088,0.106364501,0.000605239,0.005839432,0.00383395,0.00076557,0.000647521,0.006642582,0.064330395,0.004613127,0.002896113,0.004956345,0.004876087,0.001210873,0.002404408,0.008885007
0.012249906,0.003294797,0.457942514,0.004082927,0.00467648,0.239128318,0.044442886,0.003174215,0.107227006,0.001231689,0.003184775,0.003794195,0.00088727,0.000513568,0.007563642,0.069657616,0.004952468,0.006772312,0.005841961,0.0050791,0.001308298,0.002304835,0.009880433
0.009730873,0.002669822,0.430653105,0.002121952,0.005291188,0.252148071,0.033514316,0.002685951,0.122801455,0.000760563,0.039102546,0.006174365,0.000445065,0.000454761,0.003177879,0.056507178,0.004185347,0.006053008,0.003542927,0.004680433,0.000922352,0.002631371,0.009042753
0.008158272,0.002542867,0.448911907,0.004116798,0.005182391,0.249563614,0.042347071,0.003492238,0.100680327,0.001097987,0.006134809,0.004486784,0.000553318,0.000497705,0.004959096,0.073761206,0.006053516,0.009026673,0.004460793,0.005848081,0.001174981,0.003872479,0.012472857
0.009921528,0.002981298,0.444054648,0.002757132,0.005805859,0.276743236,0.03663001,0.002976429,0.074629131,0.001056217,0.013301333,0.00512598,0.000660042,0.000417007,0.004348853,0.059019127,0.005608157,0.025754056,0.002634946,0.005278848,0.001195021,0.006135695,0.01240146
0.007856097,0.002573083,0.452114075,0.003289652,0.004837542,0.257981648,0.043760299,0.003638043,0.087331307,0.001026925,0.003384129,0.003800558,0.000749359,0.000427652,0.004348996,0.083284026,0.004221427,0.01091357,0.005000259,0.00316467,0.000736145,0.002618875,0.012320424
0.027571342,0.003587181,0.482122541,0.004507366,0.004737491,0.244358429,0.048673481,0.002664448,0.072470045,0.002057798,0.006492902,0.004540486,0.000828721,0.000355153,0.005424344,0.054350256,0.004328322,0.006103993,0.003853032,0.003850051,0.000690142,0.002905482,0.012578038
0.012277103,0.00388163,0.464382181,0.004966552,0.004827319,0.244790979,0.039845092,0.003536319,0.084215396,0.001168561,0.003167764,0.003754174,0.000755927,0.000467266,0.00645305,0.087924195,0.004730756,0.003325165,0.005387332,0.005270248,0.001379298,0.002564149,0.010300693
0.019560638,0.003412848,0.4444566,0.003938847,0.005388288,0.255238316,0.045722876,0.003656878,0.089759334,0.001440644,0.007599023,0.005751015,0.003418842,0.000546166,0.004996201,0.06118945,0.005461101,0.006054571,0.006774107,0.005600983,0.001961898,0.003373367,0.013817541
0.008392044,0.002471349,0.440455136,0.003333833,0.003976602,0.268868101,0.041300824,0.003244182,0.099144088,0.000563248,0.003761572,0.006380544,0.000558129,0.000419913,0.005167243,0.078849132,0.007011519,0.000605914,0.008658962,0.007055095,0.001357088,0.001708463,0.0060817
0.012311999,0.003127859,0.481463656,0.003669154,0.004535749,0.241088594,0.055936847,0.003887192,0.08191701,0.001453218,0.003117681,0.004632691,0.000553128,0.000371875,0.005423603,0.066107537,0.004823907,0.003107413,0.004902805,0.005349327,0.001067617,0.002555897,0.007824663
0.015518628,0.002497776,0.469559349,0.002768943,0.003992427,0.243766017,0.051080013,0.003201283,0.096605019,0.001088055,0.003182022,0.004367265,0.00079356,0.00040889,0.005788459,0.065773613,0.004741775,0.001876859,0.005968316,0.005252363,0.001278556,0.002130847,0.007706064
0.00728661,0.002732795,0.444358015,0.002236065,0.004083333,0.270170485,0.042379203,0.003272515,0.091822327,0.001080808,0.002713365,0.006195304,0.000820714,0.000382735,0.005749072,0.078954718,0.006743526,0.002568967,0.007319497,0.005305373,0.00115686,0.002706484,0.009326768
0.013863144,0.003065884,0.447158729,0.003288148,0.003693667,0.250812745,0.046852584,0.002798815,0.098722419,0.001844359,0.00315934,0.003672069,0.000567652,0.000345602,0.006745145,0.085649314,0.004355676,0.00156459,0.007890546,0.003929168,0.000580075,0.00224838,0.006225686
0.022322497,0.004126877,0.453207523,0.003677451,0.005027188,0.250463868,0.043016831,0.003063856,0.090412654,0.002290465,0.005758518,0.003935133,0.000649521,0.000420419,0.006253447,0.068691504,0.003655129,0.00890311,0.004519072,0.004532352,0.00100109,0.003076479,0.010416064
0.01604057,0.003704166,0.465409064,0.003476211,0.005146386,0.241794863,0.044970973,0.003550755,0.099501803,0.000914791,0.001856759,0.003827267,0.000619402,0.000319987,0.004255204,0.074030137,0.005245444,0.00298103,0.004622588,0.005087792,0.001293426,0.002212992,0.008412335
0.011653303,0.002963843,0.475543387,0.004639355,0.004758231,0.231042845,0.047159434,0.003650832,0.094190285,0.001546137,0.003167773,0.003675827,0.000549217,0.000438818,0.006893789,0.075565037,0.004775423,0.003179817,0.00471977,0.004938926,0.001438043,0.002127346,0.01070793
0.010905061,0.002701774,0.492401867,0.005928057,0.004603148,0.229818151,0.049435679,0.004440824,0.07634575,0.0004614,0.002514248,0.004172164,0.000630286,0.000343513,0.004490726,0.0725586,0.006573058,0.004375391,0.004115545,0.005525463,0.001457011,0.001956802,0.013525103
0.007470501,0.00306953,0.461188483,0.003044335,0.005761427,0.245489922,0.045194825,0.003782677,0.093357981,0.000779641,0.003605378,0.00429904,0.000626967,0.000359943,0.003432495,0.075705285,0.006652115,0.005929923,0.004522036,0.006794122,0.001656899,0.00220128,0.014426004
0.012106134,0.002712804,0.473017324,0.005938599,0.00422482,0.237984616,0.049400124,0.004052165,0.094693043,0.000849813,0.003611324,0.003699512,0.000541322,0.000421111,0.00556379,0.06910126,0.005519732,0.002417532,0.004706655,0.0054063,0.001451123,0.002286937,0.009579666
0.009048963,0.00274808,0.478489436,0.004839982,0.005159739,0.248831292,0.048057858,0.004061169,0.084748727,0.00035603,0.003376087,0.003889447,0.00070584,0.000378415,0.004675777,0.063725429,0.005640752,0.004911386,0.004367923,0.005380167,0.001412032,0.002003681,0.012447882
0.015721679,0.002324519,0.498054112,0.004807579,0.004482402,0.255898246,0.038247971,0.003132697,0.052859181,0.000773228,0.00232159,0.004178305,0.00055994,0.000308286,0.003345685,0.069221602,0.005645819,0.009922314,0.003366114,0.004869473,0.001443756,0.003636493,0.014283852
0.013707611,0.004123335,0.452946154,0.003249422,0.004337844,0.253130041,0.04133297,0.002869439,0.084078983,0.00114044,0.003101127,0.003907504,0.000543367,0.000348368,0.005417983,0.083115644,0.005493854,0.009268538,0.004317823,0.005759686,0.000988433,0.002953404,0.013250138
0.016090229,0.004047815,0.47980259,0.005046265,0.005974089,0.234848988,0.054559884,0.003318032,0.078460873,0.001916813,0.0046707,0.003286586,0.000584611,0.0002898,0.004933056,0.063903966,0.003548118,0.008472718,0.004383923,0.003157275,0.000698413,0.003034602,0.013963643
0.008986072,0.002765863,0.483942064,0.004399058,0.00357922,0.230261033,0.047411304,0.00413601,0.108524288,0.000453559,0.00433362,0.003002576,0.000423498,0.000336872,0.003586742,0.068279623,0.003290398,0.00306248,0.002552643,0.003990544,0.000537684,0.002110368,0.009687427
0.022460544,0.003297739,0.469608943,0.00218714,0.004144717,0.276287292,0.047730099,0.003379967,0.07011769,0.000900466,0.004920796,0.004066481,0.000444478,0.000308563,0.004327852,0.059974339,0.004015125,0.003836874,0.003069697,0.002996341,0.000638526,0.002063377,0.008276426
